edad,Rel general mujer qx base 2019 en tanto por mil,Rel general hombre qx base 2019 en tanto por mil,NoRel general mujer qx base 2019 en tanto por mil,NoRel general hombre qx base 2019 en tanto por mil,decesos mujer qx base 2019 en tanto por mil,decesos hombre qx base 2019 en tanto por mil
74,9.0542962439813100,17.9361124786846000,9.4908334990796700,18.8008711631362000,14.4868739903701000,28.6977799658953000
75,10.2816855920964000,19.9012524335575000,10.7773993047046000,20.8607569468033000,16.4506969473542000,31.8420038936920000
76,11.6905976184987000,22.1285592665948000,12.2542395910298000,23.1954495318589000,18.7049561895979000,35.4056948265517000
77,13.3109882569198000,24.6491887941026000,13.9527545653930000,25.8376068584808000,21.2975812110717000,39.4387020705642000
78,15.1903847440589000,27.4969210068616000,15.9227629081230000,28.8226375613615000,24.3046155904943000,43.9950736109786000
79,17.3937583876596000,30.7093796440071000,18.2323684063499000,32.1899793432360000,27.8300134202553000,49.1350074304113000
80,19.9975392214255000,34.3273171559310000,20.9616860358448000,35.9823494635057000,31.9960627542808000,54.9237074494896000
81,23.1020759614144000,38.4292255657107000,24.2159026526908000,40.2820243025715000,36.9633215382631000,61.4867609051372000
82,26.7933708555926000,43.0731287321069000,28.0851669546994000,45.1498252393270000,42.8693933689482000,68.9170059713710000
83,31.1532130388240000,48.3209451285097000,32.6552113986085000,50.6506560394135000,49.8451408621184000,77.3135122056156000
84,36.2577405961306000,54.2389685622804000,38.0058449357059000,56.8540067516133000,58.0123849538090000,86.7823496996487000
85,42.1767007385106000,60.8941869366838000,44.2101775183026000,63.8300949852477000,67.4827211816169000,97.4306990986941000
86,48.9731541319867000,68.3506818083651000,51.3343101735176000,71.6460918785358000,78.3570466111788000,109.3610908933840000
87,56.7062113274497000,76.6689803822944000,59.4402033653585000,80.3654428510948000,90.7299381239196000,122.6703686116710000
88,65.4310749199133000,85.9000867372844000,68.5857211866136000,90.0416110553044000,104.6897198718610000,137.4401387796550000
89,75.1965318968318000,96.0771911318664000,78.8220028050739000,100.7093869606860000,120.3144510349310000,153.7235058109860000
90,86.0480150520073000,107.2145501522600000,90.1966714782244000,112.3837145101400000,137.6768240832120000,171.5432802436160000
91,98.0288216049219000,119.3042717446540000,102.7551119262030000,125.0563211481120000,156.8461145678750000,190.8868347914470000
92,111.1904188129180000,132.3304550974520000,116.5512728112720000,138.7105394328370000,177.9046701006690000,211.7287281559240000
93,125.5906686429480000,146.2761267394360000,131.6458058151830000,153.3285775464990000,200.9450698287170000,234.0418027830980000
94,141.2851824029100000,161.1415460138450000,148.0970034489950000,168.9107073361230000,226.0562918446560000,257.8264736221510000
95,158.3069838338640000,176.9530125071790000,165.9394816364040000,185.4844963773490000,253.2911741341820000,283.1248200114860000
96,176.6231318214520000,193.7365365666580000,185.1387110641200000,203.0772090613630000,282.5970109143240000,309.9784585066520000
97,196.1218940612040000,211.5032654142040000,205.5775724475920000,221.7005300541400000,313.7950304979260000,338.4052246627260000
98,216.6235417530040000,230.2415715480240000,227.0676716730300000,241.3422712539690000,346.5976668048070000,368.3865144768380000
99,237.9178458044970000,249.9158963812570000,249.3886438154910000,261.9651596781410000,380.6685532871950000,399.8654342100110000
100,259.8231819410200000,270.4710178180920000,272.3501078996050000,283.5113107928720000,432.9620497108480000,449.6392549741040000
101,274.4474056189930000,283.7736646729480000,287.6794132636980000,297.4553217899080000,492.4481238949510000,506.4922530472810000
102,318.0326278232720000,327.1325579622340000,333.3660216774860000,342.9046892309750000,560.9949441925840000,572.5403067128530000
103,382.6268003426340000,391.8682649479440000,401.0744906597780000,410.7615165194560000,636.5695133453700000,645.7958204293990000
104,473.8518288196930000,483.3916882384990000,496.6977763237630000,506.6975835874910000,716.1642297160440000,723.2906495331640000
105,591.3155048508020000,600.9883272725550000,619.8247606150210000,629.9639414632340000,796.1671994775600000,801.4450291961480000
106,720.9871619516260000,730.2501444591300000,755.7483126980180000,765.4578939083790000,872.7325488022060000,876.4365033841950000
